Episode    100  |  Step  1.9  |  Score   20.6  |  Loss   nan  |  Eps  1.00  |  Q   nan  |  Rem 1.56
Episode    200  |  Step  2.0  |  Score   23.5  |  Loss 20.848  |  Eps  1.00  |  Q   nan  |  Rem 1.55
Episode    300  |  Step  1.8  |  Score   31.8  |  Loss 13.120  |  Eps  1.00  |  Q   nan  |  Rem 1.53
Episode    400  |  Step  1.9  |  Score   19.7  |  Loss 5.109  |  Eps  1.00  |  Q  41.1  |  Rem 1.47
Episode    500  |  Step  2.0  |  Score   14.6  |  Loss 5.041  |  Eps  0.99  |  Q  55.5  |  Rem 1.64
Episode    600  |  Step  2.1  |  Score   21.7  |  Loss 4.555  |  Eps  0.99  |  Q  56.4  |  Rem 1.63
Episode    700  |  Step  1.8  |  Score   28.2  |  Loss 4.479  |  Eps  0.99  |  Q  72.2  |  Rem 1.44
Episode    800  |  Step  1.9  |  Score   30.5  |  Loss 4.686  |  Eps  0.99  |  Q  72.2  |  Rem 1.53
Episode    900  |  Step  2.1  |  Score   27.2  |  Loss 5.289  |  Eps  0.99  |  Q  77.1  |  Rem 1.65
Episode   1000  |  Step  2.0  |  Score   15.5  |  Loss 6.158  |  Eps  0.99  |  Q  77.1  |  Rem 1.72
Episode   1100  |  Step  2.2  |  Score   20.5  |  Loss 6.724  |  Eps  0.99  |  Q  79.2  |  Rem 1.61
Episode   1200  |  Step  2.0  |  Score   21.8  |  Loss 6.587  |  Eps  0.99  |  Q  83.6  |  Rem 1.60
Episode   1300  |  Step  2.0  |  Score   32.4  |  Loss 6.560  |  Eps  0.98  |  Q  83.6  |  Rem 1.47
Episode   1400  |  Step  2.1  |  Score   19.6  |  Loss 6.147  |  Eps  0.98  |  Q  86.4  |  Rem 1.51
Episode   1500  |  Step  2.0  |  Score   24.4  |  Loss 6.304  |  Eps  0.98  |  Q  87.2  |  Rem 1.39
Episode   1600  |  Step  2.0  |  Score   29.6  |  Loss 6.376  |  Eps  0.98  |  Q  88.4  |  Rem 1.47
Episode   1700  |  Step  2.0  |  Score   22.3  |  Loss 6.196  |  Eps  0.98  |  Q  89.3  |  Rem 1.52
Episode   1800  |  Step  2.0  |  Score   20.4  |  Loss 5.745  |  Eps  0.98  |  Q  90.5  |  Rem 1.60
Episode   1900  |  Step  2.0  |  Score   23.3  |  Loss 6.347  |  Eps  0.98  |  Q  91.4  |  Rem 1.59
Episode   2000  |  Step  2.0  |  Score   26.3  |  Loss 6.187  |  Eps  0.98  |  Q  92.0  |  Rem 1.55
Episode   2100  |  Step  2.0  |  Score   26.3  |  Loss 6.252  |  Eps  0.97  |  Q  93.4  |  Rem 1.55
Episode   2200  |  Step  2.0  |  Score   34.6  |  Loss 6.400  |  Eps  0.97  |  Q  93.7  |  Rem 1.57
Episode   2300  |  Step  1.9  |  Score   21.1  |  Loss 5.587  |  Eps  0.97  |  Q  94.4  |  Rem 1.48
Episode   2400  |  Step  2.0  |  Score   24.4  |  Loss 5.643  |  Eps  0.97  |  Q  94.6  |  Rem 1.63
Episode   2500  |  Step  2.0  |  Score   30.6  |  Loss 5.526  |  Eps  0.97  |  Q  95.0  |  Rem 1.53
Episode   2600  |  Step  2.1  |  Score   23.4  |  Loss 5.691  |  Eps  0.97  |  Q  95.0  |  Rem 1.59
Episode   2700  |  Step  1.9  |  Score   17.5  |  Loss 5.726  |  Eps  0.97  |  Q  95.1  |  Rem 1.60
Episode   2800  |  Step  2.1  |  Score   17.5  |  Loss 5.038  |  Eps  0.97  |  Q  95.2  |  Rem 1.63
Episode   2900  |  Step  2.0  |  Score   35.5  |  Loss 4.949  |  Eps  0.96  |  Q  95.7  |  Rem 1.43
Episode   3000  |  Step  2.0  |  Score   20.9  |  Loss 4.895  |  Eps  0.96  |  Q  95.7  |  Rem 1.52
Episode   3100  |  Step  2.1  |  Score   20.6  |  Loss 4.306  |  Eps  0.96  |  Q  96.0  |  Rem 1.59
Episode   3200  |  Step  2.0  |  Score   26.4  |  Loss 4.049  |  Eps  0.96  |  Q  96.2  |  Rem 1.53
Episode   3300  |  Step  2.0  |  Score   23.9  |  Loss 4.034  |  Eps  0.96  |  Q  96.3  |  Rem 1.48
Episode   3400  |  Step  2.0  |  Score   21.8  |  Loss 3.608  |  Eps  0.96  |  Q  96.1  |  Rem 1.60
Episode   3500  |  Step  2.2  |  Score   22.5  |  Loss 3.463  |  Eps  0.96  |  Q  96.2  |  Rem 1.52
Episode   3600  |  Step  2.0  |  Score   13.3  |  Loss 3.237  |  Eps  0.96  |  Q  96.2  |  Rem 1.63
Episode   3700  |  Step  2.1  |  Score   20.6  |  Loss 3.170  |  Eps  0.95  |  Q  96.5  |  Rem 1.57
Episode   3800  |  Step  1.9  |  Score   31.0  |  Loss 2.867  |  Eps  0.95  |  Q  95.8  |  Rem 1.45
Episode   3900  |  Step  1.9  |  Score   33.7  |  Loss 2.592  |  Eps  0.95  |  Q  96.0  |  Rem 1.47
Episode   4000  |  Step  2.0  |  Score   22.2  |  Loss 2.599  |  Eps  0.95  |  Q  95.7  |  Rem 1.53
Episode   4100  |  Step  1.9  |  Score   21.9  |  Loss 2.321  |  Eps  0.95  |  Q  96.0  |  Rem 1.57
Episode   4200  |  Step  2.1  |  Score   23.5  |  Loss 1.996  |  Eps  0.95  |  Q  96.2  |  Rem 1.56
Episode   4300  |  Step  1.9  |  Score   22.3  |  Loss 1.787  |  Eps  0.95  |  Q  95.8  |  Rem 1.49
Episode   4400  |  Step  2.1  |  Score   20.7  |  Loss 1.577  |  Eps  0.95  |  Q  95.3  |  Rem 1.57
Episode   4500  |  Step  2.1  |  Score   18.0  |  Loss 1.311  |  Eps  0.94  |  Q  95.0  |  Rem 1.56
Episode   4600  |  Step  2.0  |  Score   29.3  |  Loss 1.264  |  Eps  0.94  |  Q  95.2  |  Rem 1.51
Episode   4700  |  Step  2.1  |  Score   26.9  |  Loss 0.963  |  Eps  0.94  |  Q  95.2  |  Rem 1.47
Episode   4800  |  Step  2.0  |  Score   15.4  |  Loss 0.848  |  Eps  0.94  |  Q  95.5  |  Rem 1.51
Episode   4900  |  Step  2.0  |  Score   22.3  |  Loss 0.756  |  Eps  0.94  |  Q  95.6  |  Rem 1.51
Episode   5000  |  Step  2.1  |  Score   31.1  |  Loss 0.623  |  Eps  0.94  |  Q  95.7  |  Rem 1.48
Episode   5100  |  Step  2.0  |  Score   26.4  |  Loss 0.629  |  Eps  0.94  |  Q  95.6  |  Rem 1.53
Episode   5200  |  Step  1.9  |  Score   28.0  |  Loss 0.593  |  Eps  0.94  |  Q  95.7  |  Rem 1.48
Episode   5300  |  Step  1.9  |  Score   34.0  |  Loss 0.483  |  Eps  0.93  |  Q  95.8  |  Rem 1.41
Episode   5400  |  Step  2.1  |  Score   22.1  |  Loss 0.446  |  Eps  0.93  |  Q  96.0  |  Rem 1.57
Episode   5500  |  Step  2.0  |  Score   36.6  |  Loss 0.391  |  Eps  0.93  |  Q  96.1  |  Rem 1.47
Episode   5600  |  Step  2.1  |  Score   22.0  |  Loss 0.389  |  Eps  0.93  |  Q  96.2  |  Rem 1.57
Episode   5700  |  Step  2.2  |  Score   27.3  |  Loss 0.348  |  Eps  0.93  |  Q  96.4  |  Rem 1.65
Episode   5800  |  Step  1.9  |  Score   38.3  |  Loss 0.353  |  Eps  0.93  |  Q  96.5  |  Rem 1.40
Episode   5900  |  Step  2.0  |  Score   22.2  |  Loss 0.334  |  Eps  0.93  |  Q  96.4  |  Rem 1.53
Episode   6000  |  Step  2.0  |  Score   25.1  |  Loss 0.355  |  Eps  0.93  |  Q  96.5  |  Rem 1.52
Episode   6100  |  Step  1.9  |  Score   36.8  |  Loss 0.330  |  Eps  0.92  |  Q  96.6  |  Rem 1.41
Episode   6200  |  Step  2.0  |  Score   30.8  |  Loss 0.353  |  Eps  0.92  |  Q  96.5  |  Rem 1.49
Episode   6300  |  Step  1.8  |  Score   27.1  |  Loss 0.329  |  Eps  0.92  |  Q  96.6  |  Rem 1.39
